file,save_time,simulation_time,avg_age,max_age,species_count,current_population
autosave_20260408-151607-152620.json,2026-04-08 21:37:32.955604,600.001708984375,171.24828859965007,579.9033813476562,1,30
autosave_20260408-151607-153620.json,2026-04-08 21:37:33.017630,1200.0057373046875,211.02101789988004,1180.50927734375,1,26
autosave_20260408-151607-154620.json,2026-04-08 21:37:33.093668,1800.010498046875,93.37887640182788,223.63095092773438,1,26
autosave_20260408-151607-155620.json,2026-04-08 21:37:33.249171,2400.014404296875,93.09591862605404,755.4546508789062,1,97
autosave_20260408-151607-160620.json,2026-04-08 21:37:33.427119,3000.03173828125,105.78627097046615,1356.060546875,2,149
autosave_20260408-151607-161620.json,2026-04-08 21:37:33.695225,3600.051513671875,88.66565901941533,328.637939453125,2,139
autosave_20260408-151607-162620.json,2026-04-08 21:37:34.044732,4200.06298828125,90.64883112614872,440.6363830566406,2,163
autosave_20260408-151607-163620.json,2026-04-08 21:37:34.380757,4800.06640625,93.12304188127388,364.17840576171875,2,146
autosave_20260408-151607-164620.json,2026-04-08 21:37:34.874925,5400.07373046875,92.88167172200752,387.1457824707031,2,165
autosave_20260408-151607-165621.json,2026-04-08 21:37:35.499119,6000.0849609375,90.18640986770049,430.0022277832031,2,174
autosave_20260408-151607-170622.json,2026-04-08 21:37:36.100541,6600.08740234375,86.06324867833837,390.64385986328125,2,233
autosave_20260408-151607-171626.json,2026-04-08 21:37:37.086322,7200.14794921875,89.28994036614283,542.6670532226562,2,487
autosave_20260408-151607-172655.json,2026-04-08 21:37:38.361410,7800.17431640625,87.20151856111275,586.2695922851562,3,554
autosave_20260408-151607-174224.json,2026-04-08 21:37:39.751024,8400.4951171875,85.95031599278563,428.9228210449219,3,717
autosave_20260408-151607-175903.json,2026-04-08 21:37:41.853198,9000.5751953125,89.22689789760332,531.2359008789062,3,815
autosave_20260408-151607-181106.json,2026-04-08 21:37:43.738571,9600.77734375,96.75263396796579,404.7760925292969,3,699
autosave_20260408-151607-182240.json,2026-04-08 21:37:46.311737,10200.9052734375,94.87121508916219,482.0736083984375,3,660
autosave_20260408-151607-183442.json,2026-04-08 21:37:48.733394,10800.9462890625,90.80319223820995,536.8413696289062,3,706
autosave_20260408-151607-184528.json,2026-04-08 21:37:51.780589,11400.9560546875,76.49491413016312,527.7324829101562,3,161
autosave_20260408-151607-185538.json,2026-04-08 21:37:54.484894,12000.99609375,92.6589348483514,539.4038696289062,3,588
autosave_20260408-151607-190549.json,2026-04-08 21:37:58.762614,12601.0126953125,101.236010018262,505.8005676269531,3,440
autosave_20260408-151607-191600.json,2026-04-08 21:38:02.022370,13201.0537109375,85.31836386124665,496.7655334472656,3,467
autosave_20260408-151607-192613.json,2026-04-08 21:38:06.923363,13801.1064453125,89.24847803126883,439.49700927734375,3,540
autosave_20260408-151607-193626.json,2026-04-08 21:38:10.277325,14401.1435546875,103.85974345905215,545.8901977539062,3,456
autosave_20260408-151607-194641.json,2026-04-08 21:38:14.112285,15001.2197265625,86.96999104007794,431.2215576171875,3,471
autosave_20260408-151607-195657.json,2026-04-08 21:38:32.263160,15601.2451171875,92.72108386185184,590.1533813476562,3,477
autosave_20260408-151607-200714.json,2026-04-08 21:38:38.787356,16201.31640625,96.58627775695386,572.4761352539062,3,458
autosave_20260408-151607-201731.json,2026-04-08 21:38:44.229496,16801.345703125,82.97589647927077,411.7122802734375,3,531
autosave_20260408-151607-202803.json,2026-04-08 21:40:36.127659,17401.376953125,106.85368137049073,801.2593383789062,4,476
autosave_20260408-151607-203827.json,2026-04-08 21:40:44.905762,18001.416015625,96.72038101311216,391.1435852050781,4,501
